요일,장바구니 구매율,명시적 이탈률,묵시적 이탈률
월,12.73458333,23.16875,55.46166667
화,13.145,23.38666667,55.02041667
수,12.45583333,23.4775,55.99333333
목,12.54041667,23.13125,56.01708333
금,12.46,23.05083333,56.10666667
토,12.02833333,24.08458333,55.40791667
일,12.02083333,23.86125,55.74125
,,,
시간,장바구니 구매율,명시적 이탈률,묵시적 이탈률
0,10.22428571,23.17571429,58.02
1,10.24714286,24.18285714,55.5
2,10.92857143,23.63285714,56.47571429
3,10.42571429,23.84714286,56.77
4,11.13285714,23.74,56.02857143
5,12.77142857,23.35428571,54.77571429
6,13.81,23.56142857,54.05857143
7,14.87571429,23.05428571,54.18
8,14.98857143,23.09,54.55428571
9,14.78142857,22.35428571,55.05285714
10,14.81285714,22.80857143,54.54428571
11,14.09142857,23.05428571,54.9
12,13.40857143,22.89714286,55.76285714
13,13.36428571,22.96571429,55.90142857
14,13.05142857,23.19571429,55.78714286
15,12.97428571,23.46857143,55.32
16,12.92571429,23.78714286,54.84
17,12.70571429,23.91,55.03142857
18,12.72857143,24.61428571,54.29428571
19,12.04571429,24.37,55.27
20,11.58,24.08857143,55.91571429
21,10.95,23.31142857,57.14571429
22,10.48857143,23.42857143,57.56142857
23,10.29285714,22.94428571,58.59
