month,price_group,cart_products,purchase_products,explicit_abandon_products,implicit_abandon_products,cart_to_purchase_rate,explicit_abandon_rate,implicit_abandon_rate
2019-12,"very low",221784,32890,36164,151233,14.83,16.31,68.19
2019-12,low,298372,36465,63081,196158,12.22,21.14,65.74
2019-12,mid,108945,14034,22435,71447,12.88,20.59,65.58
2019-12,high,54576,7273,11842,35053,13.33,21.70,64.23
2019-12,premium,78147,11454,15769,50213,14.66,20.18,64.25
2020-01,"very low",244892,34559,40196,168397,14.11,16.41,68.76
2020-01,low,383599,45676,78974,255358,11.91,20.59,66.57
2020-01,mid,133234,16765,26896,88409,12.58,20.19,66.36
2020-01,high,69205,8829,14842,44996,12.76,21.45,65.02
2020-01,premium,96596,13617,19213,62845,14.10,19.89,65.06
2020-02,"very low",284119,33794,41854,206680,11.89,14.73,72.74
2020-02,low,373138,40676,77561,251377,10.90,20.79,67.37
2020-02,mid,130191,14727,25972,88327,11.31,19.95,67.84
2020-02,high,69393,8171,14528,46092,11.77,20.94,66.42
2020-02,premium,90002,11731,17639,59851,13.03,19.60,66.50
